id,score,rank,ethnicity,gender,age,btyr1,btyr2,btyr3,btyr4,btyr5,btyr6
239,3.1,2,0,1,33,7,8,7,6,7,7
240,3.7,2,0,1,33,7,8,7,6,7,7
241,3.7,3,0,0,58,3,6,7,2,4,6
242,3.9,3,0,0,56,2,4,4,4,3,6
243,3.9,3,0,0,56,2,4,4,4,3,6
244,3.2,3,0,0,56,2,4,4,4,3,6
245,4.4,1,0,0,50,2,3,5,2,3,4
246,4.2,1,0,0,50,2,3,5,2,3,4
247,4.7,1,0,0,50,2,3,5,2,3,4
248,3.9,1,0,0,50,2,3,5,2,3,4
249,3.6,1,0,0,50,2,3,5,2,3,4
250,3.4,1,0,0,50,2,3,5,2,3,4
251,4.4,1,0,0,50,2,3,5,2,3,4
252,4.4,3,0,1,52,4,3,5,2,2,3
253,4.1,3,0,1,52,4,3,5,2,2,3
254,3.6,3,0,1,52,4,3,5,2,2,3
255,3.5,3,0,1,52,4,3,5,2,2,3
256,4.1,3,0,1,52,4,3,5,2,2,3
257,3.8,3,0,1,52,4,3,5,2,2,3
258,4,3,0,1,52,4,3,5,2,2,3
259,4.8,3,0,1,52,4,3,5,2,2,3
260,4.2,3,0,1,52,4,3,5,2,2,3
261,4.6,3,0,1,52,4,3,5,2,2,3
262,4.3,3,0,1,52,4,3,5,2,2,3
263,4.8,3,0,1,52,4,3,5,2,2,3
264,3.8,3,0,1,52,4,3,5,2,2,3
265,4.5,2,0,0,33,3,7,9,4,5,7
266,4.9,2,0,0,33,3,7,9,4,5,7
267,4.9,2,0,0,33,3,7,9,4,5,7
268,4.8,2,0,0,33,3,7,9,4,5,7
269,4.7,2,0,0,33,3,7,9,4,5,7
270,4.6,2,0,0,33,3,7,9,4,5,7
271,4.3,3,0,1,57,5,6,6,5,7,5
272,4.4,3,0,1,57,5,6,6,5,7,5
273,4.5,3,0,1,57,5,6,6,5,7,5
274,4.2,3,0,1,57,5,6,6,5,7,5
275,4.8,3,0,0,38,6,8,9,4,5,7
276,4.6,3,0,0,38,6,8,9,4,5,7
277,4.9,3,0,0,38,6,8,9,4,5,7
278,4.8,3,0,0,38,6,8,9,4,5,7
279,4.8,3,0,0,38,6,8,9,4,5,7
280,4.6,3,0,0,38,6,8,9,4,5,7
281,4.7,3,0,0,38,6,8,9,4,5,7
282,4.1,2,0,0,34,2,1,4,1,1,1
283,3.8,2,0,0,34,2,1,4,1,1,1
284,4,2,0,0,34,2,1,4,1,1,1
285,4.1,2,0,0,34,2,1,4,1,1,1
286,4,2,0,0,34,2,1,4,1,1,1
287,4.1,2,0,0,34,2,1,4,1,1,1
288,3.5,2,0,1,34,6,7,7,6,8,6
289,4.1,2,0,1,34,6,7,7,6,8,6
290,3.6,2,0,1,34,6,7,7,6,8,6
291,4,2,0,1,32,3,7,3,3,3,3
292,3.9,2,0,1,32,3,7,3,3,3,3
293,3.8,2,0,1,32,3,7,3,3,3,3
294,4.4,2,0,1,32,3,8,3,3,3,3
295,4.7,2,0,1,32,3,8,3,3,3,3
296,3.8,3,0,0,42,5,5,8,6,8,5
297,4.1,3,0,0,42,5,5,8,6,8,5
298,4.1,3,0,0,43,2,3,5,3,3,4
299,4.7,3,0,0,43,2,3,5,3,3,4
300,4.3,3,0,0,43,2,3,5,3,3,4
301,4.4,3,0,0,43,2,3,5,3,3,4
302,4.5,3,0,0,43,2,3,5,3,3,4
303,3.1,3,0,0,43,2,3,5,3,3,4
304,3.7,3,0,0,43,2,3,5,3,3,4
305,4.5,3,0,0,43,2,3,5,3,3,4
306,3,3,0,0,43,2,3,5,3,3,4
307,4.6,3,0,0,43,2,3,5,3,3,4
308,3.7,2,0,1,35,4,3,3,4,3,5
309,3.6,2,0,1,35,4,3,3,4,3,5
310,3.2,3,0,0,62,1,5,5,1,4,5
311,3.3,3,0,0,62,1,5,5,1,4,5
312,2.9,3,0,0,62,1,5,5,1,4,5
313,4.2,3,0,1,42,3,1,6,1,1,4
314,4.5,3,0,1,39,5,8,6,4,5,6
315,3.8,3,0,0,52,5,7,7,3,8,6
316,3.7,3,0,0,52,5,7,7,3,8,6
317,3.7,3,0,0,52,6,7,9,5,6,6
318,4,3,0,0,52,6,7,9,5,6,6
319,3.7,3,0,0,52,6,7,9,5,6,6
320,4.5,1,0,0,52,2,3,4,2,1,2
321,3.8,1,0,0,52,2,3,4,2,1,2
322,3.9,1,0,0,52,2,3,4,2,1,2
323,4.6,1,0,0,52,2,3,4,2,1,2
324,4.5,1,0,0,52,2,3,4,2,1,2
325,4.2,1,0,0,52,2,3,4,2,1,2
326,4,1,0,0,52,2,3,4,2,1,2
327,3.8,3,0,1,64,2,3,3,2,1,3
328,3.5,3,0,1,64,2,3,3,2,1,3
329,2.7,3,0,1,64,2,3,3,2,1,3
330,4,3,0,1,64,2,3,3,2,1,3
331,4.6,3,0,1,64,2,3,3,2,1,3
332,3.9,3,0,1,64,2,3,3,2,1,3
333,4.5,3,0,1,50,6,7,9,6,8,7
334,3.7,3,0,1,50,6,7,9,6,8,7
335,2.4,3,0,1,60,1,1,2,2,2,2
336,3.1,3,0,1,60,1,1,2,2,2,2
337,2.5,3,0,1,60,1,1,2,2,2,2
338,3,3,0,0,51,4,5,7,4,5,6
339,4.5,2,0,1,43,3,4,4,2,4,4
340,4.8,2,0,1,43,3,4,4,2,4,4
341,4.9,2,0,1,43,3,4,4,2,4,4
342,4.5,2,0,1,43,3,4,4,2,4,4
343,4.6,2,0,1,43,3,4,4,2,4,4
344,4.5,2,0,1,43,3,4,4,2,4,4
345,4.9,2,0,1,43,3,4,4,2,4,4
346,4.4,2,0,1,43,3,4,4,2,4,4
347,4.6,2,0,1,43,3,4,4,2,4,4
348,4.6,1,1,1,50,1,5,4,1,4,5
349,5,1,1,1,50,1,5,4,1,4,5
350,4.9,1,1,1,50,1,5,4,1,4,5
351,4.6,1,1,1,50,1,5,4,1,4,5
352,4.8,1,1,1,50,1,5,4,1,4,5
353,4.9,1,1,1,50,1,5,4,1,4,5
354,4.9,1,1,1,50,1,5,4,1,4,5
355,4.9,1,1,1,50,1,5,4,1,4,5
356,5,1,1,1,50,1,5,4,1,4,5
357,4.5,1,1,1,50,1,5,4,1,4,5
358,3.5,3,0,1,52,7,6,6,5,5,6
359,3.8,3,0,1,52,7,6,6,5,5,6
360,3.9,3,0,1,52,7,6,6,5,5,6
361,3.9,3,0,1,52,7,6,6,5,5,6
362,4.2,3,0,1,52,7,6,6,5,5,6
363,4.1,3,0,1,52,7,6,6,5,5,6
364,4.8,3,0,1,51,6,7,8,6,6,4
365,4.8,3,0,1,51,6,7,8,6,6,4
366,4.8,3,0,1,51,6,7,8,6,6,4
367,4.8,3,0,1,51,6,7,8,6,6,4
368,4.9,3,0,1,51,6,7,8,6,6,4
369,4.2,3,0,1,38,3,4,4,2,3,4
370,4.5,3,0,1,38,3,4,4,2,3,4
371,3.9,3,0,1,38,3,4,4,2,3,4
372,4.4,3,0,1,38,3,4,4,2,3,4
373,4,3,0,0,47,5,7,6,3,6,4
374,3.6,3,0,0,47,5,7,6,3,6,4
375,3.7,3,1,0,43,5,6,4,2,4,4
376,2.7,3,1,0,43,5,6,4,2,4,4
377,4.5,1,0,0,38,3,4,2,1,3,2
378,4.4,1,0,0,38,3,4,2,1,3,2
379,3.9,1,0,0,38,3,4,2,1,3,2
380,3.6,1,0,0,38,3,4,2,1,3,2
381,4.4,1,0,0,38,3,4,2,1,3,2
382,4.4,1,0,0,38,3,4,2,1,3,2
383,4.7,3,0,1,43,4,4,5,4,4,5
384,4.5,3,0,1,43,4,4,5,4,4,5
385,4.1,3,0,1,43,4,4,5,4,4,5
386,3.7,3,0,1,43,4,4,5,4,4,5
387,4.3,3,0,1,57,3,4,3,2,3,3
388,3.5,3,0,1,57,3,4,3,2,3,3
389,3.7,3,0,1,57,3,4,3,2,3,3
390,4,3,0,0,51,5,8,5,6,8,6
391,4,3,0,0,51,5,8,5,6,8,6
392,3.1,3,0,0,51,5,8,5,6,8,6
393,4.5,3,0,0,51,5,8,5,6,8,6
394,4.8,1,0,1,45,1,4,2,5,4,4
395,4.2,1,0,1,45,1,4,2,5,4,4
396,4.9,1,0,1,45,1,4,2,5,4,4
397,4.8,1,0,1,45,1,4,2,5,4,4
398,3.5,3,0,1,57,2,3,3,2,1,6
399,3.6,3,0,1,57,2,3,3,2,1,6
400,4.4,3,0,1,57,2,3,3,2,1,6
401,3.4,3,0,1,57,2,3,3,2,1,6
402,3.9,3,0,1,57,2,3,3,2,1,6
403,3.8,3,0,1,57,2,3,3,2,1,6
404,4.8,3,0,1,57,2,3,3,2,1,6
405,4.6,3,0,1,57,2,3,3,2,1,6
406,5,3,0,1,57,2,3,3,2,1,6
407,3.8,3,0,1,57,2,3,3,2,1,6
408,4.2,3,0,1,57,2,3,3,2,1,6
409,3.3,1,0,0,47,8,6,6,4,9,7
410,4.7,1,0,0,47,8,6,6,4,9,7
411,4.6,1,0,0,47,8,6,6,4,9,7
412,4.6,1,0,0,47,8,6,6,4,9,7
413,4,1,0,0,47,8,6,6,4,9,7
414,4.2,3,1,0,54,8,5,8,4,9,7
415,4.9,3,1,0,54,8,5,8,4,9,7
416,4.5,3,1,0,54,8,5,8,4,9,7
417,4.8,3,1,0,54,8,5,8,4,9,7
418,3.8,3,1,0,54,8,5,8,4,9,7
419,4.8,1,0,1,58,8,8,9,6,8,8
420,5,1,0,1,58,8,8,9,6,8,8
421,5,1,0,1,58,8,8,9,6,8,8
422,4.9,1,0,1,58,8,8,9,6,8,8
423,4.6,1,0,1,58,8,8,9,6,8,8
424,5,1,0,1,58,8,8,9,6,8,8
425,4.8,1,0,1,58,8,8,9,6,8,8
426,4.9,1,0,1,58,8,8,9,6,8,8
427,4.9,3,0,1,42,8,7,10,6,8,8
428,3.9,3,0,1,42,8,7,10,6,8,8
429,3.9,3,0,1,42,8,7,10,6,8,8
430,4.5,2,0,1,33,6,7,6,5,6,5
431,4.5,2,0,1,33,6,7,6,5,6,5
432,3.3,3,0,1,62,1,1,1,4,1,4
433,3.1,3,0,1,62,1,1,1,4,1,4
434,2.8,3,0,1,62,1,1,1,4,1,4
435,3.1,3,0,1,62,1,1,1,4,1,4
436,4.2,3,0,1,62,1,1,1,4,1,4
437,3.4,3,0,1,62,1,1,1,4,1,4
438,3,3,0,1,62,1,1,1,4,1,4
439,3.3,2,1,0,35,7,9,10,6,7,8
440,3.6,2,1,0,35,7,9,10,6,7,8
441,3.7,2,1,0,35,7,9,10,6,7,8
442,3.6,3,0,1,61,3,2,7,1,3,4
443,4.3,3,0,1,61,3,2,7,1,3,4
444,4.1,3,0,0,52,4,8,5,3,4,3
445,4.9,3,0,0,52,4,8,5,3,4,3
446,4.8,3,0,0,52,4,8,5,3,4,3
447,3.7,2,0,0,60,4,6,6,2,3,5
448,3.9,2,0,0,60,4,6,6,2,3,5
449,4.5,2,0,0,60,4,6,6,2,3,5
450,3.6,2,0,0,60,4,6,6,2,3,5
451,4.4,2,0,0,60,4,6,6,2,3,5
452,3.4,2,0,0,60,4,6,6,2,3,5
453,4.4,2,0,0,60,4,6,6,2,3,5
454,4.5,2,0,1,32,6,6,9,7,8,5
455,4.5,2,0,1,32,6,6,9,7,8,5
456,4.5,2,0,1,32,6,6,9,7,8,5
457,4.6,2,0,1,32,6,6,9,7,8,5
458,4.1,2,0,1,32,6,6,9,7,8,5
459,4.5,2,0,1,32,6,6,9,7,8,5
460,3.5,2,1,0,42,3,8,7,4,6,4
461,4.4,2,1,0,42,3,8,7,4,6,4
462,4.4,2,1,0,42,3,8,7,4,6,4
463,4.1,2,1,0,42,3,8,7,4,6,4
