interest,verified,cutil,term,bankrupt,ccheck
9.43,Source Verified,0.019068736,60,0,3
10.42,Verified,0.1671432,60,0,1
7.96,Not Verified,0.196107947,36,1,2
13.59,Not Verified,0.254345849,60,0,5
15.04,Source Verified,0.662979553,60,0,1
12.61,Source Verified,0.486594319,36,0,1
7.96,Source Verified,0.847541051,36,1,3
13.58,Source Verified,0.549455767,60,0,4
16.01,Source Verified,0.06095279,60,0,6
22.91,Verified,0.390209021,36,0,1
7.97,Not Verified,0.125011675,36,0,8
18.06,Not Verified,0.414867925,60,1,3
6.08,Not Verified,0.135710421,36,0,0
5.32,Source Verified,0.141735145,36,0,0
5.32,Not Verified,0.171889166,36,1,2
9.93,Source Verified,0.079849468,36,0,2
20,Verified,0.657800432,60,1,2
15.05,Not Verified,0.92137457,36,0,0
7.96,Source Verified,0.126133267,36,0,13
26.77,Source Verified,0.114001973,60,0,2
9.44,Not Verified,0.098050501,60,1,6
13.59,Not Verified,0.298213264,36,0,9
15.04,Source Verified,0.470989399,36,0,0
5.31,Not Verified,0.37504166,36,0,2
14.08,Verified,0.720766343,36,0,8
13.59,Source Verified,0.555382343,36,0,2
7.97,Not Verified,0.460983765,36,0,0
9.93,Source Verified,0.426057513,60,0,2
6.08,Source Verified,0.111772214,36,0,0
21.85,Not Verified,0.655655877,60,0,0
10.42,Source Verified,0.70657612,36,0,2
17.47,Source Verified,0.77397086,36,0,0
10.9,Source Verified,0.196366906,36,0,0
6.08,Not Verified,0.277353395,36,0,0
12.61,Not Verified,0.536173114,36,0,1
23.87,Verified,0.076077697,36,0,2
18.06,Verified,0.219359001,36,0,2
13.59,Source Verified,0.919000117,60,0,0
16.02,Source Verified,0.616255144,36,1,3
9.93,Verified,0.326501383,36,0,2
9.92,Source Verified,0.159683544,36,0,2
7.35,Not Verified,0.65592322,36,0,1
10.91,Source Verified,0.120847004,36,0,2
13.59,Source Verified,0.56116919,60,0,1
14.07,Source Verified,0.392649007,36,1,0
7.34,Not Verified,0.390408135,36,0,6
15.05,Verified,0.144840359,60,0,1
6.72,Verified,0.298295619,36,0,0
16.01,Source Verified,0.162043186,36,0,1
7.34,Not Verified,0.218339921,36,0,0
23.88,Not Verified,0.944965724,36,1,4
15.05,Not Verified,0.652331315,36,0,1
6.72,Not Verified,0.208743719,36,0,0
21.45,Source Verified,0.370205522,36,0,3
25.82,Verified,0.450915012,60,1,1
14.08,Not Verified,0.618053571,60,0,2
15.05,Verified,0.736217845,36,1,1
9.44,Not Verified,0.326373704,36,0,0
17.09,Verified,0.749950715,36,0,2
16.01,Not Verified,0.654949373,36,0,1
10.9,Source Verified,0.319621856,60,1,2
12.62,Not Verified,0.519415909,36,0,2
21.45,Verified,0.838701091,60,0,2
10.41,Source Verified,0.056404097,36,0,3
5.32,Not Verified,0.457218785,36,0,0
21.85,Verified,0.159419738,60,1,2
18.06,Not Verified,0.522884048,60,1,3
5.32,Source Verified,0.2446806,36,0,2
17.09,Source Verified,0.707950661,60,0,3
9.93,Source Verified,0.138578689,60,0,1
6.08,Source Verified,0.61995216,36,0,1
17.09,Not Verified,0.807238086,60,0,10
16.01,Not Verified,0.433008432,36,0,2
13.59,Not Verified,0.480224215,60,1,0
9.92,Source Verified,0.532229665,36,0,2
15.04,Source Verified,0.16701529,60,0,2
6.71,Not Verified,0.062752478,36,0,3
17.47,Source Verified,0.983333333,36,0,0
11.99,Source Verified,0.471595985,36,1,2
13.59,Source Verified,0.497891374,36,0,1
7.35,Not Verified,0.342378375,36,0,9
10.42,Source Verified,0.000165635,60,0,4
7.97,Source Verified,0.129079286,36,0,0
9.92,Not Verified,0.149171664,60,0,1
12.61,Verified,0.586285141,36,0,0
9.93,Not Verified,0.32286207,60,0,1
14.07,Not Verified,0.149524437,60,0,1
14.08,Source Verified,0.74139366,60,0,0
12.62,Source Verified,0.44844712,60,0,2
16.02,Source Verified,0.184313974,60,0,3
14.07,Not Verified,0.251994302,60,0,7
18.06,Source Verified,0.467256881,36,0,2
14.08,Not Verified,0.470204371,60,0,1
16.02,Source Verified,0.917379438,60,0,0
11.99,Source Verified,0.134624465,60,0,0
6.72,Not Verified,0.455089667,36,0,0
19.03,Source Verified,0.722857665,60,1,9
6.71,Source Verified,0.602165682,36,0,0
6.07,Not Verified,0.550876947,36,0,0
7.35,Source Verified,0.250908063,36,0,0
13.59,Not Verified,0.529603507,36,1,1
13.59,Source Verified,0.073214657,36,0,1
5.31,Not Verified,0.096685889,36,0,0
7.97,Source Verified,0.610398191,36,0,2
7.35,Source Verified,0.254908272,36,1,3
11.99,Verified,0.518671587,36,1,2
16.02,Not Verified,0.45993592,36,0,3
9.93,Source Verified,0.698899314,36,1,0
19.42,Not Verified,0.507836074,36,0,5
7.96,Not Verified,0.46592965,36,0,0
13.59,Source Verified,0.030311076,36,0,0
12.61,Verified,0.81012726,36,1,7
19.03,Verified,0.103966202,36,0,5
16.01,Source Verified,0.323012422,36,0,6
6.72,Not Verified,0.087435897,36,0,0
6.07,Not Verified,0.197144021,36,1,1
15.05,Source Verified,0.228205285,36,0,0
6.07,Source Verified,0.603959881,36,0,0
13.58,Verified,0.291734825,36,0,2
10.42,Source Verified,0.343181818,36,0,1
11.98,Source Verified,0.896925473,36,0,0
9.43,Source Verified,0.059588378,36,0,0
16.02,Not Verified,0.692203161,36,0,3
18.06,Verified,0.426104937,36,0,0
12.61,Source Verified,0.128372881,60,0,1
14.07,Source Verified,0.130491842,60,0,1
10.42,Source Verified,0.393599707,36,0,4
10.42,Source Verified,0.680498871,36,1,2
17.47,Source Verified,0.156982389,60,1,1
10.91,Not Verified,0.761742007,60,0,1
5.32,Not Verified,0.09629388,36,0,0
9.44,Not Verified,0.153965347,60,0,3
9.44,Source Verified,0.154574382,36,0,1
14.08,Not Verified,0.318445897,36,0,0
7.35,Not Verified,0.211484848,36,1,1
12.62,Not Verified,0.327822222,60,0,1
15.04,Verified,0.691607834,36,0,1
9.92,Source Verified,0,60,0,3
10.9,Verified,0.482793478,60,0,3
6.72,Not Verified,0.493288445,36,0,4
5.32,Verified,0.518683593,36,0,0
11.99,Verified,0.929715372,60,0,1
5.32,Source Verified,0.069945592,36,0,1
10.41,Verified,0.334009591,36,0,0
14.07,Source Verified,0.7211875,60,0,1
6.07,Not Verified,0.220610064,36,0,1
9.93,Verified,0.692302756,36,0,0
11.99,Source Verified,0.356097561,36,0,10
6.71,Verified,0.173703691,36,1,2
5.31,Not Verified,0.11604072,36,0,2
13.59,Not Verified,0.408652537,60,0,1
10.9,Source Verified,0.531533333,36,1,3
12.62,Source Verified,0.260704225,36,0,2
10.42,Not Verified,0.935911402,36,0,2
15.05,Not Verified,0.811484069,36,0,4
6.71,Not Verified,0.342258652,36,0,0
21.45,Source Verified,0.921118998,60,1,1
9.44,Source Verified,0.246909542,36,0,3
11.99,Verified,0.240582628,36,0,6
11.99,Not Verified,0.79837368,36,0,0
6.07,Not Verified,0.220248692,36,0,1
5.31,Source Verified,0.51952261,36,0,0
6.07,Source Verified,0.185983632,36,0,2
19.42,Source Verified,0.869711139,60,1,6
21.85,Verified,0.618294862,60,0,1
14.08,Verified,0.151702938,36,0,4
18.06,Verified,0.092570436,60,0,2
10.91,Source Verified,0.815442814,36,0,3
9.44,Not Verified,0.293447527,60,0,0
12.62,Verified,0.128229462,60,0,0
9.44,Not Verified,0.288619186,60,0,0
6.08,Verified,0.149742346,36,0,0
11.98,Not Verified,0.395130398,36,0,3
9.92,Not Verified,0.817488479,36,0,0
13.59,Source Verified,0.185887308,36,0,1
10.41,Not Verified,0.635660857,36,1,4
9.93,Verified,0.193835662,60,0,3
7.97,Not Verified,0.13388636,36,0,3
19.42,Not Verified,0.628833169,36,0,5
18.45,Verified,0.682211163,60,0,2
6.72,Not Verified,0.11238231,36,0,3
10.91,Source Verified,0.041901914,36,0,1
17.47,Source Verified,0.420689655,36,0,0
10.41,Not Verified,0.543155296,36,0,3
6.72,Verified,0.49550823,36,0,0
9.44,Not Verified,0.1109416,36,0,4
12.61,Source Verified,0.323555696,36,0,4
7.96,Not Verified,0.083978102,36,0,4
10.9,Verified,0.834324324,36,0,1
21.85,Not Verified,0.143166227,60,0,3
7.96,Verified,0.109114833,36,0,0
9.43,Verified,0.223804699,60,0,3
15.04,Not Verified,0.16320034,60,0,1
14.07,Source Verified,0.15117251,60,0,4
10.9,Source Verified,0.112737038,36,1,0
6.08,Not Verified,0.12057325,36,0,2
9.93,Source Verified,0.957059091,36,0,1
12.61,Not Verified,0.718149926,36,0,0
10.42,Not Verified,0.159233863,60,0,0
30.17,Source Verified,0.133279857,60,0,1
19.42,Verified,0.870316269,60,0,3
9.43,Not Verified,0.225595238,36,1,1
17.47,Verified,0.018781024,60,0,0
7.34,Source Verified,0.394132245,36,0,0
7.96,Not Verified,0.737785746,36,1,0
13.58,Source Verified,0.564260999,36,1,2
9.43,Verified,0.191598424,60,0,0
21.85,Verified,0.376139888,60,0,1
21.85,Not Verified,0.607440006,60,1,0
22.91,Verified,1.111487088,36,1,1
12.61,Not Verified,0.001106214,36,0,3
9.93,Verified,0.062076599,36,0,5
6.72,Source Verified,0.158709696,36,0,2
19.42,Source Verified,0.866255346,36,0,0
9.92,Source Verified,0.096446076,36,1,9
14.07,Not Verified,0.21525976,60,0,0
10.42,Verified,0.213599176,36,0,1
7.35,Not Verified,0.406969215,36,0,10
6.71,Not Verified,0.627947828,36,0,2
12.62,Not Verified,0.199582844,36,0,5
21.45,Not Verified,0.37623878,60,0,5
16.01,Not Verified,0.270921053,60,0,0
16.02,Not Verified,0.323516972,60,1,1
10.9,Source Verified,0.695120466,36,0,1
11.99,Source Verified,0.060591177,36,0,3
7.34,Source Verified,0.324953318,36,0,3
12.61,Not Verified,0.827516821,36,0,1
6.71,Source Verified,0.188714943,36,0,2
9.43,Not Verified,0.475588235,36,0,0
13.59,Not Verified,0.810529791,36,0,1
6.08,Not Verified,0.183054377,36,0,0
7.96,Source Verified,0.31021219,36,0,3
7.35,Not Verified,0.458972013,36,0,1
10.9,Source Verified,0.595660377,60,0,0
6.07,Source Verified,0.272267415,36,0,0
19.03,Source Verified,0.120142857,36,0,2
14.08,Source Verified,0.925441174,60,0,1
10.42,Source Verified,0.743785171,36,0,1
9.44,Not Verified,0.007895925,36,1,1
5.31,Source Verified,0.130764953,36,0,0
7.97,Not Verified,0.46961165,36,0,1
5.32,Not Verified,0.160989486,36,0,2
10.91,Verified,0.405012906,36,0,1
10.91,Source Verified,0.670702814,36,0,0
19.03,Verified,0.27877678,36,0,0
12.61,Source Verified,0.914588417,60,0,1
13.59,Source Verified,0.259145106,36,0,1
5.32,Source Verified,0.169784779,36,0,0
13.58,Verified,0.527786393,60,0,2
16.01,Not Verified,0.187194707,60,0,2
7.35,Not Verified,0.18345218,36,0,3
9.92,Verified,0.078946399,36,0,1
9.43,Source Verified,0.135849213,60,0,0
7.35,Verified,0.094921194,36,0,3
9.43,Not Verified,0.051017536,36,1,2
9.44,Not Verified,0.374476842,36,1,3
17.09,Source Verified,0.845172438,36,0,1
18.06,Verified,0.697642524,36,0,9
21.85,Source Verified,0.707861303,60,0,4
6.72,Not Verified,0.449877622,36,0,0
9.43,Source Verified,0.486696673,36,0,3
10.42,Verified,0.107822329,60,0,0
15.04,Not Verified,0.63225783,60,0,2
18.06,Source Verified,0.049230769,36,0,1
15.04,Source Verified,0.720743309,36,0,4
13.59,Verified,0.601808281,36,0,3
7.35,Verified,0.211976855,60,0,1
15.05,Verified,0.365079365,36,0,1
26.77,Verified,0.712541419,60,0,0
7.35,Verified,0.169010866,36,0,0
11.98,Source Verified,0.201809485,36,0,2
13.59,Not Verified,0.467233327,36,0,0
11.98,Not Verified,0.576460986,36,0,2
7.35,Not Verified,0.447331959,36,0,0
9.92,Not Verified,0.21056317,36,0,4
14.08,Not Verified,0.669162688,36,0,1
9.93,Source Verified,0.193686128,60,0,1
17.47,Source Verified,0.48583564,36,0,0
9.43,Source Verified,0.170649664,36,0,2
7.97,Not Verified,0.046455566,36,1,0
9.43,Not Verified,0.448049696,60,0,2
14.08,Verified,0.622899576,36,0,0
7.97,Not Verified,0.138411413,36,0,6
14.07,Not Verified,1.064382957,36,0,1
9.93,Source Verified,0.369051799,36,0,4
10.42,Not Verified,0.603656129,36,0,5
25.82,Verified,0.874957893,60,0,7
25.82,Source Verified,0.686620274,60,0,0
7.35,Not Verified,0.430249733,36,0,2
15.05,Source Verified,0.524650019,60,1,3
7.96,Not Verified,0.263471582,36,0,0
13.58,Verified,0.472145651,36,0,2
16.01,Verified,0.125920327,60,1,0
7.34,Not Verified,0.144967896,36,0,3
6.08,Not Verified,0.064724055,36,0,0
12.61,Source Verified,0.782079139,36,0,0
16.02,Source Verified,0.155548533,60,1,0
11.99,Not Verified,0.254733149,60,0,1
6.08,Not Verified,0.412808019,36,0,0
30.79,Source Verified,0.790025923,60,0,0
16.02,Verified,0.944886878,36,0,0
12.61,Source Verified,0.826421627,60,0,4
12.61,Not Verified,0.064535364,36,0,0
14.08,Not Verified,0.483477331,36,0,0
17.09,Not Verified,0.281162791,36,0,3
7.96,Not Verified,0.188056955,36,0,4
10.42,Verified,0.630351455,36,0,1
7.34,Not Verified,0.496097749,36,1,1
9.92,Not Verified,0.17344485,60,0,3
6.72,Source Verified,0.301156716,36,0,1
10.42,Source Verified,0.505667746,36,0,3
6.71,Not Verified,0.565849053,60,0,3
16.01,Source Verified,0.665716184,36,0,8
14.08,Not Verified,0.68625308,36,0,0
10.9,Not Verified,0.72115864,36,1,2
5.31,Not Verified,0.559842932,36,0,0
17.47,Source Verified,0.655644604,60,0,0
9.93,Source Verified,0.174321596,36,1,1
9.43,Source Verified,0.108236483,36,0,0
14.08,Source Verified,0.6395231,60,0,0
7.97,Verified,0.706479642,36,0,1
7.35,Source Verified,0.310431655,36,0,2
15.05,Not Verified,0.46800311,60,0,3
14.07,Source Verified,0.635872093,36,0,2
11.99,Source Verified,0.805769075,36,0,1
5.31,Not Verified,0.431864976,36,0,2
5.32,Not Verified,0.092346096,36,0,0
11.99,Not Verified,0.648437916,36,0,1
15.04,Source Verified,0.54971694,60,0,2
6.72,Source Verified,0.049419503,36,0,3
7.97,Source Verified,0.114811881,36,0,0
5.32,Source Verified,0.213932432,36,0,4
22.91,Verified,0.186891496,36,0,8
10.91,Source Verified,0.53383799,60,0,0
15.05,Verified,0.258361476,36,0,1
7.35,Not Verified,0.202428017,36,0,5
11.99,Verified,0.025045646,36,0,3
9.93,Verified,0.587383235,36,1,1
20,Source Verified,0.836702484,60,0,5
13.59,Source Verified,0.099792909,36,1,3
26.77,Verified,0.688362573,60,1,4
16.01,Not Verified,0.693890435,60,0,4
5.31,Not Verified,0.56078125,36,0,0
21.85,Verified,0.518292077,60,0,1
11.99,Not Verified,0.858732782,36,0,1
6.08,Source Verified,0.877252484,36,0,0
19.03,Source Verified,0.446535001,36,0,2
7.35,Source Verified,0.57931027,36,0,0
7.96,Source Verified,0.194376419,36,0,2
20.39,Source Verified,0.78627907,36,0,0
15.05,Verified,0.683009218,60,0,2
7.96,Not Verified,0.172092376,36,0,0
5.32,Not Verified,0.31283442,36,0,0
14.08,Not Verified,1.083412011,36,0,2
18.45,Verified,0.838371427,36,1,3
6.72,Source Verified,0.520939609,36,1,0
17.09,Not Verified,0.726770326,60,0,1
10.9,Not Verified,0.166354885,36,0,2
13.58,Verified,0.305877512,60,0,0
14.08,Verified,0.148285786,60,0,3
6.72,Source Verified,0.176896491,60,0,1
9.43,Not Verified,0.292402597,36,0,2
11.99,Source Verified,0.8465538,60,0,0
11.98,Not Verified,1.017738619,36,0,0
10.42,Verified,0.168775737,60,0,2
11.98,Source Verified,0.929120735,36,0,0
7.96,Source Verified,0.628203012,60,0,0
9.93,Not Verified,0.075702598,36,0,5
9.43,Source Verified,0.876407425,36,0,0
10.41,Verified,0.904534173,36,0,2
7.34,Source Verified,0.586036178,36,0,2
14.07,Source Verified,0.952765144,36,0,2
10.42,Not Verified,0.56297619,60,0,1
7.97,Source Verified,0.118564255,36,0,3
21.45,Verified,0.077818861,60,0,2
21.45,Source Verified,0.717559064,36,0,3
26.77,Verified,0.217172133,60,0,6
20.39,Verified,0.412816258,60,0,3
10.42,Not Verified,0.5988831,36,0,0
17.47,Source Verified,0.581940115,36,0,2
7.34,Not Verified,0.194791505,60,0,4
7.35,Verified,0.066782689,36,0,0
17.09,Source Verified,0.987692308,36,0,1
13.59,Source Verified,0.420142081,36,0,4
6.07,Not Verified,0.026823506,36,0,1
9.93,Verified,0.781090547,36,0,0
9.44,Not Verified,0.127932582,36,0,2
11.99,Not Verified,0.108949176,36,0,1
25.82,Not Verified,0.636364307,60,0,2
19.03,Source Verified,0.585763597,60,0,5
10.41,Verified,0.138504756,36,0,2
12.61,Source Verified,0.993846154,36,0,0
6.71,Not Verified,0.162570093,36,0,1
10.42,Not Verified,0.278693467,36,0,0
18.06,Verified,0.365254597,36,1,4
6.08,Source Verified,0.335748373,36,0,1
7.97,Source Verified,0.711735537,36,0,0
24.85,Source Verified,0.532001816,60,1,2
15.04,Source Verified,0.903416769,36,0,2
21.45,Not Verified,0.091386764,60,1,1
17.09,Not Verified,0.691070506,36,0,1
20,Source Verified,0.25056,36,0,7
9.44,Not Verified,0.283471856,36,1,0
15.04,Not Verified,0.274114339,60,0,1
20.39,Source Verified,0.110198643,60,0,1
7.97,Not Verified,0.294361702,36,0,1
11.98,Source Verified,0.611690209,36,0,2
6.07,Verified,0.20242047,36,0,2
21.45,Verified,0.786465569,60,0,3
9.44,Not Verified,0.625342668,36,0,0
9.43,Source Verified,0.298079096,36,1,0
21.85,Source Verified,0.061244915,60,1,3
11.99,Source Verified,0.20193209,60,0,1
10.42,Not Verified,0.545528811,60,0,2
13.59,Source Verified,0.692607242,36,0,3
7.35,Source Verified,0.168275488,36,0,1
6.71,Verified,0.036793844,36,0,0
9.44,Not Verified,0.387100657,36,1,2
6.72,Verified,0.148369222,36,0,2
7.97,Source Verified,0.294789418,36,0,1
15.05,Source Verified,0.430728795,60,0,5
6.72,Source Verified,0.129102912,36,0,1
5.32,Not Verified,0.043698348,36,0,0
17.47,Not Verified,0.550035211,36,0,3
15.05,Source Verified,0.794719626,36,0,2
10.91,Not Verified,0.657820069,36,0,0
21.45,Verified,0.495112945,60,0,3
5.32,Not Verified,0.070507384,36,0,1
12.62,Source Verified,0.651029567,36,0,0
12.61,Not Verified,0.508514908,36,0,5
10.91,Source Verified,0.243294118,36,0,1
5.32,Source Verified,0.112624741,36,0,2
7.96,Source Verified,0.027123731,36,0,1
11.99,Not Verified,0.171709226,36,0,6
6.08,Source Verified,0.233172155,36,0,0
13.58,Verified,0.200901647,36,0,2
7.35,Not Verified,0.537744767,36,0,1
7.97,Not Verified,0.133634745,36,0,0
10.42,Source Verified,0.101818869,36,0,0
6.71,Source Verified,0.485102564,36,0,0
5.31,Not Verified,0.043063861,36,0,0
12.61,Not Verified,0.538385093,36,0,2
25.82,Not Verified,0.175434459,36,0,1
18.06,Source Verified,0.192859759,36,0,1
9.44,Source Verified,0.50033465,36,1,1
19.03,Not Verified,0.674243688,36,0,1
5.32,Not Verified,0.152078638,36,0,2
11.99,Source Verified,0.022075472,36,0,6
7.96,Not Verified,0.311426636,36,0,0
18.45,Source Verified,0.094008776,36,0,2
28.72,Verified,0.306385962,60,0,4
9.92,Not Verified,0.373129343,60,0,1
7.96,Source Verified,0.806378317,36,0,1
13.58,Not Verified,0.277218045,36,0,2
7.34,Source Verified,0.847399903,36,0,1
9.43,Source Verified,0.173846744,36,0,12
15.05,Verified,0.638825542,36,0,0
11.98,Not Verified,0.86256,36,0,2
13.59,Verified,0.624870135,36,1,4
14.08,Verified,0.414544317,36,0,2
14.07,Source Verified,0.615091443,60,0,1
16.01,Not Verified,0.798110236,36,0,5
9.43,Verified,0.652106198,36,0,1
9.93,Not Verified,0.454911243,36,0,1
12.61,Source Verified,0.6450733,60,0,2
14.08,Source Verified,0.47280122,60,0,0
16.02,Verified,0.213998199,60,1,2
19.03,Verified,0.668015748,60,1,2
9.93,Source Verified,0.601197619,60,0,0
7.96,Not Verified,0.18076214,36,1,8
10.91,Source Verified,0.584181702,36,1,1
18.06,Source Verified,0.633236152,60,0,1
5.31,Not Verified,0.547274776,36,0,0
11.98,Verified,0.097043344,60,0,3
21.85,Verified,0.562925359,36,0,1
7.35,Verified,0.102242063,36,0,1
9.93,Source Verified,0.079946495,60,0,3
6.08,Not Verified,0.104894884,36,1,1
16.01,Verified,0.470253949,36,0,7
10.9,Source Verified,0.69038806,36,0,2
7.35,Source Verified,0.198612518,36,0,6
9.93,Source Verified,0.100765845,60,0,0
6.72,Verified,0.058344004,36,0,0
9.92,Not Verified,0.186217674,36,0,1
21.45,Verified,0.439363993,60,0,0
21.85,Source Verified,0.572630206,60,0,2
20,Verified,0.299540659,36,0,8
10.9,Source Verified,0.682222819,36,0,0
13.58,Not Verified,0.551204819,36,0,1
21.85,Source Verified,0.561168545,60,0,4
10.9,Not Verified,0.891452154,36,0,11
10.42,Source Verified,0.661161069,36,1,4
22.91,Source Verified,0.167796146,36,0,3
12.62,Source Verified,0.513043478,36,0,0
14.07,Not Verified,0.162275318,36,1,3
15.05,Source Verified,0.737588879,36,0,2
9.93,Not Verified,0.182175247,60,0,1
16.01,Verified,0.582368508,36,1,1
12.62,Not Verified,0.119868204,60,0,5
7.35,Not Verified,0.088501891,36,0,2
15.04,Verified,0.310442206,60,0,2
9.44,Source Verified,0.523045999,36,0,6
16.01,Verified,0.600989011,36,0,3
10.9,Verified,0.561262136,36,0,0
6.72,Source Verified,0.217443022,36,0,1
9.93,Source Verified,0.070724673,36,0,5
11.99,Source Verified,0.211321624,36,0,1
9.93,Not Verified,0.527846671,36,0,4
10.41,Source Verified,0.741221961,36,1,2
13.59,Verified,0.537254694,36,0,0
15.05,Not Verified,0.109161057,36,1,0
14.08,Verified,0.622814152,60,1,1
19.03,Source Verified,0.770869565,36,0,0
6.08,Not Verified,0.277695436,36,0,0
11.99,Not Verified,0.222706069,36,0,2
5.31,Not Verified,0.085791748,36,0,1
12.62,Source Verified,0.326538147,60,0,1
13.59,Verified,0.411243353,36,0,0
13.59,Source Verified,0.305778798,36,0,3
11.98,Source Verified,0.942281879,36,1,3
14.08,Not Verified,0.295390366,36,0,0
15.05,Not Verified,0.760772727,36,0,0
12.62,Not Verified,0.473859657,36,0,1
10.9,Source Verified,0.044464378,60,0,0
10.9,Not Verified,0.254068337,60,0,1
6.72,Source Verified,0.450672963,36,0,3
9.92,Not Verified,0.650404624,36,0,0
16.02,Source Verified,0.834967742,60,0,0
9.43,Not Verified,0.410555556,36,0,0
11.99,Source Verified,0.409585032,60,0,5
13.59,Not Verified,0.548360987,60,0,1
6.72,Verified,0.300885827,36,0,0
13.58,Not Verified,0.528153783,36,0,0
9.92,Source Verified,0.446551724,36,0,0
10.41,Not Verified,0.410555235,36,0,1
10.91,Not Verified,0.5928,36,0,0
12.61,Verified,0.71050429,60,0,3
10.91,Source Verified,0.354637973,36,0,4
6.07,Not Verified,0.687819396,36,0,1
10.42,Not Verified,0.313978344,36,0,0
9.43,Verified,0.152995992,36,0,6
6.08,Verified,0.074999046,36,0,1
10.91,Source Verified,0.208632561,60,0,4
6.07,Not Verified,0.276210696,36,0,1
9.44,Not Verified,0.135846698,60,0,3
16.02,Verified,0.715794393,36,0,0
10.42,Source Verified,0.06452634,36,0,2
9.44,Not Verified,0.183770049,60,0,4
7.34,Not Verified,0.740638298,36,0,0
19.42,Verified,0.150588166,36,0,2
15.05,Source Verified,0.652697202,36,0,0
16.02,Source Verified,0.224635583,60,0,0
16.02,Source Verified,0.660299544,60,0,0
14.07,Not Verified,0.610342547,60,0,2
10.41,Verified,0.086529812,36,0,1
14.08,Verified,0.745735474,36,0,4
11.99,Not Verified,1.226907865,36,1,0
10.42,Not Verified,0.663401871,60,0,0
13.59,Verified,0.758230779,60,0,1
6.08,Source Verified,0.166122625,36,0,4
6.71,Not Verified,0.609177027,36,0,0
10.42,Not Verified,0.685302342,36,0,3
7.34,Not Verified,0.209820144,36,0,1
17.47,Verified,0.413060389,36,0,0
