"","title","year","length","rating","votes","mpaa","Action","Animation","Comedy","Drama","budget_millions"
"30","Absolon",2003,96,4.1,548,"R",1,0,0,0,8
"31","Absolute Power",1997,121,6.4,7995,"R",0,0,0,1,50
"32","Abyss, The",1989,171,7.4,21987,"PG-13",1,0,0,1,69.5
"33","Ace Ventura: Pet Detective",1994,86,6.2,20705,"PG-13",0,0,1,0,12
"34","Ace Ventura: When Nature Calls",1995,90,4.9,15161,"PG-13",0,0,1,0,30
"35","Adaptation.",2002,114,7.9,25140,"R",0,0,1,1,19
"36","Adventures of Pluto Nash, The",2002,95,3.9,2543,"PG-13",1,0,1,0,100
"37","Adventures of Robin Hood, The",1938,102,8.2,7359,"PG",1,0,0,0,1.9
"38","Adventures of Rocky & Bullwinkle, The",2000,88,4.3,4815,"PG",0,1,1,0,76
"39","Affliction",1997,114,6.9,3679,"R",0,0,0,1,6
"40","After Image",2001,92,3.9,60,"R",0,0,0,0,1.2
"41","After the Sunset",2004,97,6,3431,"PG-13",1,0,1,0,58
"42","Agent Cody Banks",2003,102,5.5,2655,"PG",1,0,1,0,26
"43","Agent Cody Banks 2: Destination London",2004,100,3.8,919,"PG",1,0,1,0,26
"44","Air Bud",1997,98,4.7,1276,"PG",0,0,1,1,3
"45","Air Force One",1997,124,6.3,26156,"R",1,0,0,1,85
"46","Air Marshal",2003,90,3,81,"R",1,0,0,0,0.5
"47","Alamo, The",2004,137,5.9,3060,"PG-13",1,0,0,1,95
"48","Alan Smithee Film: Burn Hollywood Burn, An",1997,86,3.2,1262,"R",0,0,1,0,10
"49","Albino Alligator",1996,97,6,2077,"R",0,0,0,1,5
"50","Alexander",2004,175,5.5,11254,"R",0,0,0,1,150
"51","Alferd Packer: The Musical",1996,97,7,2298,"R",0,0,1,0,0.125
"52","Alfie",2004,103,6,3492,"R",0,0,1,1,60
"53","Ali",2001,165,6.4,9294,"R",0,0,0,1,107
"54","Alien",1979,116,8.3,63400,"R",0,0,0,0,11
"55","Alien Abduction",2005,90,1.9,73,"R",0,0,0,0,0.6
"56","Alien Escape",1997,85,5.6,23,"R",0,0,0,0,1
"57","Alien: Resurrection",1997,116,6,24358,"R",1,0,0,0,70
"58","Aliens",1986,154,8.3,63961,"R",1,0,0,0,18.5
"59","All About the Benjamins",2002,95,5.4,1250,"R",1,0,1,0,14
"60","All the Pretty Horses",2000,116,5.6,3133,"PG-13",0,0,0,1,45
"61","All the Queen's Men",2001,105,5,353,"PG-13",1,0,1,1,25
"62","All the Real Girls",2003,108,6.8,1745,"R",0,0,0,1,1
"63","Almost Famous",2000,162,8,38648,"R",0,0,1,1,60
"64","Alone in the Dark",2005,96,2.1,2880,"R",1,0,0,0,20
"65","Along Came Polly",2004,90,5.8,9785,"PG-13",0,0,1,0,42
"66","Along Came a Spider",2001,104,6.1,9456,"R",0,0,0,1,28
"67","Amadeus",1984,180,8.3,36955,"R",0,0,0,1,18
"68","America's Sweethearts",2001,102,5.8,11849,"PG-13",0,0,1,0,48
"69","American Beauty",1999,121,8.5,109991,"R",0,0,0,1,15
"70","American History X",1998,119,8.4,59677,"R",0,0,0,1,10
"71","American Outlaws",2001,94,5.5,2878,"PG-13",1,0,1,0,35
"72","American Pie",1999,95,6.8,41126,"R",0,0,1,0,11
"73","American Pie 2",2001,105,6.3,22752,"R",0,0,1,0,30
"74","American President, The",1995,114,6.9,11834,"PG-13",0,0,1,1,62
"75","American Psycho",2000,102,6.8,21639,"R",0,0,0,1,8
"76","American Wedding",2003,103,6.3,13590,"R",0,0,1,0,55
"77","American Werewolf in Paris, An",1997,105,5,4302,"R",0,0,1,0,22
"78","Amistad",1997,152,7,10543,"R",0,0,0,1,40
"79","Amityville Horror, The",2005,90,5.8,2945,"R",0,0,0,0,18
"80","Amores perros",2000,153,8.2,15079,"R",0,0,0,1,2
"81","Anacondas: The Hunt for the Blood Orchid",2004,97,4.2,2258,"PG-13",0,0,0,0,25
"82","Analyze This",1999,109,6.6,24521,"R",0,0,1,0,30
"83","Anchorman: The Legend of Ron Burgundy",2004,104,6.5,11553,"PG-13",0,0,1,0,26
"84","Angel Eyes",2001,102,5.6,4829,"R",0,0,0,1,38
"85","Anger Management",2003,106,6,14280,"PG-13",0,0,1,0,75
"86","Animal, The",2001,84,4.8,5605,"R",0,0,1,0,22
"87","Animatrix: Final Flight of the Osiris, The",2003,11,7.6,1536,"PG-13",1,1,0,0,5
"88","Anna and the King",1999,148,6.6,6739,"PG-13",0,0,0,1,75
"89","Antitrust",2001,108,6,7326,"PG-13",0,0,0,1,30
"90","Antwone Fisher",2002,117,7.4,4472,"PG-13",0,0,0,1,12.5
"91","Antz",1998,83,7,16312,"PG",0,1,1,0,60
"92","Any Given Sunday",1999,156,6.4,19531,"R",0,0,0,1,62
"93","Anything Else",2003,108,6.5,3678,"R",0,0,1,0,18
"94","Anywhere But Here",1999,114,5.9,4007,"PG-13",0,0,0,1,23
"95","Apocalypse Now",1979,202,8.5,64785,"R",1,0,0,1,31.5
"96","Apollo 13",1995,140,7.5,41098,"PG",0,0,0,1,62
"97","Apostle, The",1997,134,7.2,4231,"PG-13",0,0,0,1,5
"98","Apt Pupil",1998,112,6.4,6728,"R",0,0,0,1,14
"99","Are We There Yet?",2005,95,3.5,1043,"PG",0,0,1,0,32
"100","Arlington Road",1999,117,7.1,17189,"R",0,0,0,1,21.5
"101","Armageddon",1998,153,5.7,45330,"PG-13",1,0,0,0,140
"102","Army of Darkness",1993,96,7.4,22118,"R",1,0,1,0,11
"103","Around the Fire",1999,106,5.3,254,"R",0,0,0,0,1.2
"104","Around the World in 80 Days",2004,120,5.7,3887,"PG",1,0,1,0,110
"105","Artificial Intelligence: AI",2001,146,6.8,36623,"PG-13",0,0,0,1,90
"106","As Good as It Gets",1997,139,7.7,47441,"PG-13",0,0,1,1,50
"107","Assassins",1995,132,5.7,7354,"R",1,0,0,0,50
"108","Assault on Precinct 13",2005,109,6.3,2960,"R",1,0,0,1,20
"109","Astronaut's Wife, The",1999,109,4.8,7253,"R",0,0,0,0,34
"110","At First Sight",1999,128,5.7,3441,"PG-13",0,0,0,1,40
"111","Atlantis: The Lost Empire",2001,95,6.4,6323,"PG",1,1,0,0,90
"112","Attic Expeditions, The",2001,100,5.4,384,"R",0,0,0,0,1
"113","Austin Powers in Goldmember",2002,94,6.2,22870,"PG-13",1,0,1,0,63
"114","Austin Powers: International Man of Mystery",1997,94,7,33755,"PG-13",1,0,1,0,17
"115","Austin Powers: The Spy Who Shagged Me",1999,95,6.5,37019,"PG-13",1,0,1,0,33
"116","Auto Focus",2002,105,6.7,3276,"R",0,0,0,1,7
"117","Autumn in New York",2000,103,4.7,3731,"PG-13",0,0,0,1,40
"118","Avalon",2001,106,6.8,2723,"R",0,1,0,1,8
"119","Avengers, The",1998,89,3.4,11499,"PG-13",1,0,0,0,60
"120","Aviator, The",2004,170,7.5,16217,"PG-13",0,0,0,1,116
"121","Awfully Big Adventure, An",1995,112,5.8,608,"R",0,0,0,1,4
"122","Baby Boy",2001,130,6.2,1476,"R",0,0,0,1,16
"123","Baby Geniuses",1999,97,2.4,3142,"PG",0,0,1,0,13
"124","Bachelor, The",1999,101,5,4183,"PG-13",0,0,1,0,21
"125","Bad Boys",1995,118,6.4,15326,"R",1,0,1,0,23
"126","Bad Boys II",2003,145,6.1,13087,"R",1,0,1,0,130
"127","Bad Company",2002,116,5.4,6175,"PG-13",1,0,1,0,70
"128","Bad Moon",1996,80,4.4,519,"R",1,0,0,0,7
"129","Bad Santa",2003,98,7.2,11189,"R",0,0,1,0,18
"130","Badge, The",2002,103,6.3,740,"R",1,0,0,1,6
"131","Bait",2000,119,5.6,1884,"R",1,0,1,0,35
"132","Ballad of Jack and Rose, The",2005,112,6.2,269,"R",0,0,0,1,1.5
"133","Ballistic: Ecks vs. Sever",2002,91,3.4,4556,"R",1,0,0,0,70
"134","Bamboozled",2000,135,6.3,2356,"R",0,0,1,1,10
"135","Bananas",1971,82,7.1,4252,"PG-13",0,0,1,0,2
"136","Bandits",2001,123,6.7,12382,"PG-13",0,0,1,1,80
"137","Banger Sisters, The",2002,98,5.6,3189,"R",0,0,1,1,10
"138","Baptists at Our Barbecue",2004,92,5.9,62,"PG",0,0,1,0,0.5
"139","Barbershop",2002,102,6.6,4943,"PG-13",0,0,1,1,12
"140","Barbershop 2: Back in Business",2004,106,5.7,1580,"PG-13",0,0,1,0,18
"141","Basic",2003,98,6.2,8370,"R",0,0,0,1,50
"142","Basic Instinct",1992,128,6.7,19520,"R",0,0,0,0,49
"143","Basil",1998,113,6.1,367,"R",0,0,0,1,10
"144","Basket, The",1999,105,6.3,200,"PG",0,0,0,1,3
"145","Batman & Robin",1997,125,3.6,28457,"PG-13",1,0,0,0,110
"146","Batman Forever",1995,122,5.4,24025,"PG-13",1,0,0,0,100
"147","Battle of Shaker Heights, The",2003,90,6,854,"PG-13",0,0,1,1,1
"148","Battlefield Earth: A Saga of the Year 3000",2000,119,2.4,14970,"PG-13",1,0,0,0,73
"149","Be Cool",2005,118,5.5,4560,"PG-13",0,0,1,0,53
"150","Beach, The",2000,119,5.8,15020,"R",0,0,0,1,50
"151","Bean",1997,90,5.4,9018,"PG-13",0,0,1,0,22
"152","Beautiful",2000,112,5.3,991,"PG-13",0,0,1,1,9
"153","Beautiful Country, The",2004,137,6.9,115,"R",0,0,0,1,6
"154","Beautiful Mind, A",2001,135,7.8,43291,"PG-13",0,0,0,1,60
"155","Beavis and Butt-Head Do America",1996,81,6.2,9491,"PG-13",0,1,1,0,12
"156","Because of Winn-Dixie",2005,106,5.9,483,"PG",0,0,1,1,14
"157","Bedazzled",2000,93,5.9,11439,"PG-13",0,0,1,0,48
"158","Before Sunset",2004,80,8.3,8789,"R",0,0,0,1,10
"159","Behind Enemy Lines",2001,106,6.1,10856,"PG-13",1,0,0,1,40
"160","Being Julia",2004,104,7.2,1671,"R",0,0,1,1,18
"161","Belly",1998,96,4.5,1034,"R",0,0,0,1,10
"162","Belly of the Beast",2003,91,4.2,638,"R",1,0,0,0,18
"163","Beloved",1998,172,5.6,1934,"R",0,0,0,1,53
"164","Beowulf",1999,99,3.7,2058,"R",1,0,0,0,20
"165","Best Laid Plans",1999,92,6.3,1795,"R",0,0,0,1,7
"166","Best in Show",2000,90,7.5,11790,"PG-13",0,0,1,0,6
"167","Better Luck Tomorrow",2002,98,7.3,2697,"R",0,0,0,1,0.25
"168","Beyond Borders",2003,127,5.4,1905,"R",0,0,0,1,35
"169","Beyond Rangoon",1995,100,6.4,1285,"R",0,0,0,1,23
"170","Beyond Re-Animator",2003,96,6.1,908,"R",0,0,1,0,3
"171","Beyond the Mat",1999,108,7.3,2243,"R",0,0,0,0,0.5
"172","Beyond the Sea",2004,118,6.7,1051,"PG-13",0,0,0,1,24
"173","Bicentennial Man",1999,132,6.2,8925,"PG",0,0,0,1,100
"174","Big Bounce, The",2004,88,4.7,2505,"PG-13",0,0,1,0,50
"175","Big Brass Ring, The",1999,104,5.4,271,"R",0,0,0,1,7
"176","Big Bully",1996,90,4.2,781,"PG",0,0,1,1,15
"177","Big Daddy",1999,93,5.9,18258,"PG-13",0,0,1,0,34.2
"178","Big Fat Liar",2002,88,5.5,2453,"PG",0,0,1,0,15
"179","Big Fish",2003,125,8.1,31525,"PG-13",0,0,1,1,70
"180","Big Hit, The",1998,91,5.7,6206,"R",1,0,1,0,13
"181","Big Lebowski, The",1998,117,8,50179,"R",0,0,1,0,15
"182","Big Momma's House",2000,98,4.7,7509,"PG-13",0,0,1,0,30
"183","Big Tease, The",1999,86,6.1,670,"R",0,0,1,0,4
"184","Big Trouble",2002,85,6.4,4088,"PG-13",0,0,1,0,40
"185","Bigger Than the Sky",2005,106,7.3,32,"PG-13",0,0,1,1,0.75
"186","Billy Elliot",2000,110,7.7,16725,"R",0,0,0,1,5
"187","Birth",2004,100,6,2600,"R",0,0,0,1,20
"188","Birthday Girl",2001,93,6.1,5340,"R",0,0,1,1,13
"189","Black Hawk Down",2001,142,7.6,32530,"R",1,0,0,1,90
"190","Black Knight",2001,95,4.1,3822,"PG-13",0,0,1,0,50
"191","Black and White",1999,98,5.2,1699,"R",0,0,0,1,10
"192","Blacktop",2000,100,4.7,192,"R",0,0,0,0,3.5
"193","Blade",1998,110,6.8,24372,"R",1,0,0,0,45
"194","Blade II",2002,108,6.6,17139,"R",1,0,0,0,55
"195","Blade: Trinity",2004,124,5.7,7439,"R",1,0,0,0,65
"196","Blair Witch Project, The",1999,86,6.1,39814,"R",0,0,0,0,0.035
"197","Blast from the Past",1999,112,6.4,9483,"PG-13",0,0,1,1,35
"198","Bless the Child",2000,107,5,3814,"R",0,0,0,0,40
"199","Blind Horizon",2003,99,5.5,801,"R",0,0,0,1,5.1
"200","Blood Work",2002,110,6.3,5965,"R",0,0,0,1,50
"201","Blood and Wine",1996,101,6,2134,"R",0,0,0,1,26
"202","Blood, Guts, Bullets and Octane",1998,87,5.3,285,"R",1,0,1,0,0.0073
"203","Bloody Sunday",2002,107,7.6,2388,"R",0,0,0,1,5
"204","Blow",2001,124,7.1,18670,"R",0,0,0,1,30
"205","Blue Crush",2002,104,5.7,4791,"PG-13",0,0,0,1,30
"206","Blue Hill Avenue",2001,120,6.6,85,"R",0,0,0,1,1.2
"207","Blues Brothers 2000",1998,123,4.5,5267,"PG-13",0,0,1,0,28
"208","Boat Trip",2002,97,4.5,2991,"R",0,0,1,0,20
"209","Body of Influence 2",1996,87,3.4,44,"R",0,0,0,0,1.2
"210","Bogus",1996,110,5,1007,"PG",0,0,1,1,32
"211","Boiler Room",2000,118,6.8,8586,"R",0,0,0,1,9
"212","Bon voyage",2003,115,7.2,1061,"PG-13",0,0,1,1,20
"213","Bone Collector, The",1999,118,6.2,17766,"R",0,0,0,1,48
"214","Bone Snatcher, The",2003,96,4.1,400,"R",0,0,0,0,6
"215","Bones",2001,96,4.2,1418,"R",0,0,0,0,16
"216","Boogeyman",2005,89,4.1,2055,"PG-13",0,0,0,1,20
"217","Boogie Nights",1997,156,7.6,27380,"R",0,0,0,1,15
"218","Book of Mormon Movie, Volume 1: The Journey, The",2003,120,3.4,142,"PG-13",0,0,0,0,2
"219","Book of Shadows: Blair Witch 2",2000,90,4.2,6532,"R",0,0,0,0,15
"220","Boot, Das",1981,216,8.5,28920,"R",0,0,0,1,14
"221","Borrowers, The",1997,89,5.6,1457,"PG",0,0,1,0,29
"222","Bounce",2000,106,5.8,5390,"PG-13",0,0,0,1,35
"223","Bound",1996,109,7.5,11911,"R",0,0,0,0,4.5
"224","Bourne Identity, The",2002,119,7.3,29871,"PG-13",1,0,0,1,75
"225","Bourne Supremacy, The",2004,108,7.3,19878,"PG-13",1,0,0,1,75
"226","Bowfinger",1999,97,6.4,15000,"PG-13",0,0,1,0,55
"227","Bowling for Columbine",2002,120,8.5,36747,"R",0,0,1,1,4
"228","Boys Don't Cry",1999,118,7.6,14456,"R",0,0,0,1,2
"229","Boys and Girls",2000,94,4.9,3483,"PG-13",0,0,1,1,16
"230","Brady Bunch Movie, The",1995,90,5.6,4636,"PG-13",0,0,1,0,12
"231","Braveheart",1995,177,8.3,92437,"R",1,0,0,1,53
"232","Bravo Two Zero",1999,115,6.5,578,"R",0,0,0,0,6.5
"233","Bread, My Sweet, The",2001,105,6.8,257,"PG-13",0,0,0,1,0.6
"234","Break Up",1998,100,5.1,393,"R",0,0,0,1,9
"235","Breakdown",1997,95,6.7,7099,"R",1,0,0,0,36
"236","Breakfast of Champions",1999,110,4.2,2250,"R",0,0,1,0,12
"237","Breathing Room",1996,90,4,39,"R",0,0,1,0,0.5
"238","Breed, The",2001,91,4.7,582,"R",1,0,0,0,4
"239","Bride & Prejudice",2004,122,6.3,1503,"PG-13",0,0,1,0,7
"240","Bride of Chucky",1998,89,5.2,4449,"R",0,0,1,0,25
"241","Bride of the Wind",2001,99,5.2,201,"R",0,0,0,1,12
"242","Bridge of Dragons",1999,95,3.7,373,"R",1,0,0,0,4
"243","Bridges of Madison County, The",1995,135,6.9,7633,"PG-13",0,0,0,1,22
"244","Bridget Jones's Diary",2001,97,7,24791,"R",0,0,1,0,26
"245","Bridget Jones: The Edge of Reason",2004,108,5.7,6636,"R",0,0,1,1,70
"246","Brigham City",2001,119,7.1,405,"PG-13",0,0,0,1,1
"247","Bring It On",2000,98,6.1,11784,"PG-13",0,0,1,0,10
"248","Bringing Down the House",2003,105,5.6,6501,"PG-13",0,0,1,0,35
"249","Bringing Out the Dead",1999,121,6.7,13989,"R",0,0,0,1,32
"250","Broken Arrow",1996,108,5.7,14415,"R",1,0,0,0,65
"251","Broken Vessels",1998,90,6.1,223,"R",0,0,0,1,0.6
"252","Brooklyn Bound",2004,90,4.2,30,"R",0,0,0,1,0.07
"253","Brother",2000,114,7.1,4322,"R",0,0,0,0,12
"254","Brother from Another Planet, The",1984,106,6.7,1133,"R",0,0,1,1,0.3
"255","Brothers McMullen, The",1995,98,6.4,2325,"R",0,0,1,1,0.0238
"256","Brown Sugar",2002,109,5.9,941,"PG-13",0,0,1,1,8
"257","Bruce Almighty",2003,101,6.4,23905,"PG-13",0,0,1,0,81
"258","Bruno",2000,108,6,295,"PG-13",0,0,1,1,10
"259","Brylcreem Boys, The",1998,106,6,199,"PG-13",0,0,0,1,6
"260","Bubba Ho-tep",2002,92,7.5,7142,"R",0,0,1,0,1
"261","Bubble Boy",2001,84,5.1,2904,"PG-13",0,0,1,1,13
"262","Buffalo '66",1998,110,7.2,6652,"R",0,0,1,1,1.5
"263","Buffalo Soldiers",2001,98,7,3753,"R",0,0,1,1,15
"264","Bug Buster",1998,93,2.9,268,"PG-13",1,0,1,0,8.5
"265","Bulletproof Monk",2003,104,5.2,5405,"PG-13",1,0,1,0,52
"266","Burial Society, The",2002,94,6.5,52,"R",0,0,0,0,1.5
"267","But I'm a Cheerleader",1999,85,6.2,3897,"R",0,0,1,1,1.2
"268","Butterfly Effect, The",2004,120,7.6,22975,"R",0,0,0,1,13
"269","C'era una volta il West",1968,158,8.7,17241,"PG-13",0,0,0,1,5
"270","CQ",2001,91,6.4,1315,"R",0,0,1,1,7
"271","Cabin Fever",2002,93,5.1,7776,"R",0,0,0,0,1.5
"272","Cable Guy, The",1996,96,5.5,16266,"PG-13",0,0,1,1,47
"273","Cafe Society",1995,104,5.7,137,"R",0,0,0,1,3.5
"274","Calling Bobcat",2000,91,5,42,"R",0,0,0,0,0.23
"275","Can't Be Heaven",2000,94,5.7,104,"PG",0,0,1,1,2
"276","Can't Hardly Wait",1998,101,6.2,8191,"PG-13",0,0,1,0,10
"277","Cape Fear",1991,128,7.1,15585,"R",0,0,0,1,35
"278","Captain Corelli's Mandolin",2001,131,5.9,5281,"R",0,0,0,1,57
"279","Carandiru",2003,147,7.7,1608,"R",0,0,0,1,6
"280","Carnival of Souls",1998,90,2.8,462,"R",0,0,0,0,2
"281","Carpool",1996,89,4.5,829,"PG",0,0,1,0,17
"282","Casino",1995,176,7.8,27234,"R",0,0,0,1,52
"283","Casper",1995,100,5.6,8798,"PG",0,0,1,0,55
"284","Cast Away",2000,143,7.3,34580,"PG-13",0,0,0,1,90
"285","Cat in the Hat, The",2003,82,3.2,4997,"PG",0,0,1,0,109
"286","Catch Me If You Can",2002,141,7.6,39915,"PG-13",0,0,0,1,52
"287","Catch That Kid",2004,91,4.5,598,"PG",1,0,1,0,18
"288","Cats & Dogs",2001,87,5.4,6487,"PG",0,0,1,0,60
"289","Catwoman",2004,104,3.4,8815,"PG-13",1,0,0,0,85
"290","Cecil B. DeMented",2000,87,6,3464,"R",0,0,1,0,10
"291","Celebrity",1998,113,6.1,4820,"R",0,0,1,0,12
"292","Cell, The",2000,109,6.1,16118,"R",0,0,0,0,33
"293","Cellular",2004,94,6.4,6182,"PG-13",1,0,0,0,25
"294","Chain Reaction",1996,106,5.1,5936,"PG-13",1,0,0,1,55
"295","Chain of Fools",2000,96,6.1,845,"R",0,0,1,0,20
"296","Chairman of the Board",1998,95,2.6,666,"PG-13",0,0,1,0,10
"297","Chamber, The",1996,113,5.7,2540,"R",0,0,0,1,50
"298","Changing Habits",1997,95,5.5,134,"R",0,0,1,1,1.2
"299","Changing Lanes",2002,99,6.6,12779,"R",0,0,0,1,45
"300","Charlie",2004,94,5,141,"R",0,0,0,1,5
"301","Charlie's Angels",2000,94,5.8,25705,"PG-13",1,0,1,0,92
"302","Charlie's Angels: Full Throttle",2003,107,5,13990,"PG-13",1,0,1,0,120
"303","Charlotte Sometimes",2002,85,4.6,555,"R",0,0,0,1,0.08
"304","Charly",2002,103,5.5,149,"PG",0,0,1,1,0.95
"305","Chasing Amy",1997,111,7.6,32141,"R",0,0,1,1,0.25
"306","Chasing Liberty",2004,111,5.7,1911,"PG-13",0,0,1,0,23
"307","Cheaper by the Dozen",2003,98,5.8,5977,"PG",0,0,1,1,40
"308","Cherish",2002,99,6.5,743,"R",0,0,1,1,1.5
"309","Cherry Falls",2000,92,4.9,2165,"R",0,0,1,0,14
"310","Chicago",2002,113,7.5,34933,"PG-13",0,0,1,1,45
"311","Children On Their Birthdays",2002,102,6,163,"PG",0,0,0,1,10
"312","Chill Factor",1999,101,5,2542,"R",1,0,1,0,34
"313","Chopin. Pragnienie milosci",2002,134,4,55,"R",0,0,0,1,3.5
"314","Christmas with the Kranks",2004,98,4.5,1520,"PG",0,0,1,0,60
"315","Chronicles of Riddick, The",2004,135,6.2,11438,"PG-13",1,0,0,0,110
"316","Chuck&Buck",2000,96,6.6,1919,"R",0,0,1,1,0.25
"317","Ciao America",2002,100,4.8,27,"R",0,0,1,1,5
"318","Cidade de Deus",2002,135,8.7,25964,"R",0,0,0,1,3.3
"319","Cider House Rules, The",1999,126,7.5,18950,"PG-13",0,0,0,1,24
"320","Cinderella Story, A",2004,95,4.9,2755,"PG",0,0,1,0,20
"321","Citizen Verdict",2003,97,4.8,58,"R",0,0,0,0,10
"322","City Hall",1996,111,6.1,4381,"R",0,0,0,1,40
"323","City by the Sea",2002,108,6.3,4886,"R",0,0,0,1,60
"324","City of Angels",1998,114,6.2,15333,"PG-13",0,0,0,1,55
"325","City of Ghosts",2002,116,5.6,877,"R",0,0,0,0,17.5
"326","Civil Action, A",1998,112,6.4,6847,"PG-13",0,0,0,1,60
"327","Civil Brand",2002,95,4.1,102,"R",0,0,0,1,0.5
"328","Claudine's Return",1998,91,3.8,80,"R",0,0,0,1,2
"329","Claustrophobia",2003,79,4.2,90,"R",0,0,1,0,0.114
"330","Clay Pigeons",1998,104,6.4,2658,"R",0,0,1,1,8
"331","Clerks.",1994,92,7.9,39927,"R",0,0,1,1,0.23
"332","Climb, The",2002,98,5.2,83,"PG",1,0,0,1,2.5
"333","Clockers",1995,129,6.8,3099,"R",0,0,0,1,25
"334","Clockstoppers",2002,94,5.1,2555,"PG",0,0,0,0,26
"335","Club Dread",2004,119,5.2,3432,"R",0,0,1,0,9
"336","Clubland",1999,94,4,58,"R",0,0,0,0,4
"337","Clueless",1995,97,6.7,16521,"PG-13",0,0,1,0,20
"338","Coach Carter",2005,136,6.6,1636,"PG-13",0,0,0,1,30
"339","Cockettes, The",2002,100,6.6,177,"R",0,0,0,0,0.3
"340","Code 46",2003,92,6.4,2094,"R",0,0,0,1,7.5
"341","Cold Heart",2001,95,4.1,140,"R",0,0,0,0,3
"342","Cold Hearts",1999,90,3.9,131,"R",0,0,0,0,0.9
"343","Cold Mountain",2003,152,7.4,15712,"R",0,0,0,1,83
"344","Collateral",2004,120,7.7,24499,"R",0,0,0,1,65
"345","Collateral Damage",2002,108,5.2,8590,"R",1,0,0,0,85
"346","Commandments",1997,88,5.4,468,"R",0,0,1,1,5
"347","Committed",2000,98,5.2,739,"R",0,0,1,1,3
"348","Company Man",2000,86,4.8,492,"PG-13",0,0,1,0,16
"349","Company, The",2003,112,6.2,1505,"PG-13",0,0,0,1,15
"350","Comunidad, La",2000,110,7.2,1270,"R",0,0,1,0,2
"351","Confession, The",1999,114,5.8,519,"R",0,0,0,1,4
"352","Confessions of a Dangerous Mind",2002,113,7.1,11487,"R",0,0,0,1,29
"353","Confessions of a Teenage Drama Queen",2004,89,4.4,2205,"PG",0,0,1,0,15
"354","Confidence",2003,97,6.8,6168,"R",0,0,0,1,15
"355","Congo",1995,109,4.4,8058,"PG-13",1,0,0,0,50
"356","Conspiracy Theory",1997,135,6.4,15470,"R",0,0,0,1,75
"357","Contact",1997,153,7.3,36390,"PG",0,0,0,1,90
"358","Contender, The",2000,126,6.9,7023,"R",0,0,0,1,9
"359","Cop Land",1997,116,6.7,12677,"R",0,0,0,1,15
"360","Copycat",1995,123,6.5,7804,"R",0,0,0,1,20
"361","Core, The",2003,135,5.4,7860,"PG-13",1,0,0,1,74
"362","Corky Romano",2001,86,4.6,2463,"PG-13",0,0,1,0,11
"363","Coronado",2003,88,4.5,411,"PG-13",1,0,1,0,4.7
"364","Cotton Mary",1999,124,5.3,164,"R",0,0,0,1,3.5
"365","Count of Monte Cristo, The",2002,134,7.4,13907,"PG-13",1,0,0,1,35
"366","Country of My Skull",2004,104,5.1,194,"R",0,0,0,1,12
"367","Courage Under Fire",1996,117,6.7,8884,"R",1,0,0,1,46
"368","Coyote Ugly",2000,100,5.4,13221,"R",0,0,1,1,45
"369","Cradle 2 the Grave",2003,101,5.3,4164,"R",1,0,0,0,25
"370","Cradle Will Rock",1999,132,6.7,3375,"R",0,0,0,1,32
"371","Craft, The",1996,101,5.9,9187,"R",0,0,1,1,15
"372","Crash",2004,113,8.3,1660,"R",0,0,0,1,6.5
