"","rspdnum","Sample","version_weather_v1","version_CDR","demog_age_year","AgeRecode","demog_state","Region","weather_pastsummer_v1","gw_belief","believer_confidence","believer_cause","believer_cause_followup","believer_problem","believer_immediacy","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_hurricane","believer_factor_mildwint","believer_factor_droughts","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","govt_fed","govt_state","govt_local","state_cleancoal","state_vehicles_v1","state_fftax","state_nuclear","state_captrade","state_rps_v2","natgas_mystate","govt_nofedaction","state_impactsfelt","state_rps_neighbr","cdr_knowledge_info","cdr_knowledge","cdr_support","gw_threat","coalfpp_support_phaseout_v2","subsidy_support","carbontax_support_v3","state_gastax_v2","state_ee_v2","gw_geoengr","gw_adapt","fed_moralobligation","intl_economicimpact","worldviews_freetrade","worldviews_immigration","willing2pay_list","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_polparty","demog_polviews","worldviews_trump","demog_income","demog_gender","Date","Weight"
"11",11,"C","A","C",9999,3,"WA",4,2,1,1,3,1,2,2,NA,2,1,1,1,2,3,NA,NA,NA,2,2,3,1,2,3,4,98,1,4,1,1,1,999,999,999,5,2,1,5,5,1,1,4,1,1,1,1,3,1,1,1,3,98,2,1,NA,2,"10/4/2017 6:04:22",0.925
"12",12,"C","B","C",9999,1,"MD",2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,3,2,1,3,2,3,3,2,999,999,999,3,5,2,4,2,2,98,2,3,2,1,4,4,10,98,NA,3,4,2,3,98,1,"10/4/2017 6:05:57",1.01
"13",13,"C","A","C",9999,3,"FL",2,3,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,98,98,3,2,4,2,4,2,2,2,2,3,999,999,999,2,3,2,2,4,2,1,1,1,1,2,2,1,1,6,NA,1,2,3,2,1,2,"10/4/2017 6:06:23",1.005
"14",14,"C","B","C",9999,1,"PA",1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,9,1,1,1,98,1,98,2,3,1,2,2,2,4,999,999,999,5,4,1,3,5,4,98,3,4,4,2,4,4,1,NA,NA,5,1,4,4,NA,2,"10/4/2017 6:14:01",1.2
"15",15,"C","A","C",9999,2,"CA",4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,2,2,3,98,4,4,2,4,1,1,4,4,98,999,999,999,2,5,1,2,3,5,1,4,98,98,1,1,6,1,6,NA,3,3,2,2,6,1,"10/4/2017 6:23:19",0.93
"16",16,"C","B","C",9999,3,"NY",1,3,1,1,3,1,1,1,NA,2,1,1,1,1,2,NA,NA,NA,1,2,2,98,2,2,98,2,1,3,1,98,3,999,999,999,4,98,2,4,5,4,2,4,1,98,3,3,3,1,2,NA,4,4,3,3,3,2,"10/4/2017 6:26:22",0.825
"17",17,"C","B","C",9999,3,"WV",2,5,1,1,2,NA,4,2,NA,4,2,2,3,2,2,NA,NA,NA,3,3,3,4,4,4,4,2,4,1,4,4,1,999,999,999,3,5,5,5,5,5,1,1,4,4,4,1,1,1,1,2,3,4,3,1,4,1,"10/4/2017 6:31:52",0.515
"18",18,"C","B","C",9999,4,"FL",2,1,1,1,3,1,1,1,NA,3,1,1,1,2,1,NA,NA,NA,1,1,1,4,1,1,98,1,1,1,1,1,4,999,999,999,5,1,1,1,1,1,4,4,1,4,1,4,6,1,7,NA,5,1,4,4,6,2,"10/4/2017 6:33:22",0.52
"19",19,"C","A","C",9999,4,"CA",4,5,1,3,2,NA,4,2,NA,3,3,3,3,4,4,NA,NA,NA,3,3,3,2,3,3,3,3,3,3,2,3,3,999,999,999,1,4,4,4,4,4,3,3,3,3,3,3,1,1,1,1,3,2,2,1,2,2,"10/4/2017 6:33:37",1.06
"20",20,"C","B","C",9999,4,"TX",2,2,1,1,1,NA,1,1,NA,4,1,3,1,3,2,NA,NA,NA,1,1,1,4,1,2,3,2,1,2,1,1,4,999,999,999,4,1,1,1,3,2,4,4,1,4,2,4,5,1,NA,NA,4,4,5,4,3,1,"10/4/2017 6:33:42",0.48
"21",21,"C","A","C",9999,1,"FL",2,5,1,1,2,NA,2,1,NA,2,1,1,2,3,2,NA,NA,NA,1,1,1,1,3,3,2,2,1,2,1,1,1,999,999,999,5,1,1,2,4,4,1,1,3,1,2,2,3,2,2,NA,4,1,3,4,98,2,"10/4/2017 6:40:34",1.42
"22",22,"C","A","C",9999,2,"MI",3,2,1,1,3,1,1,1,NA,2,2,2,2,1,2,NA,NA,NA,1,1,1,1,2,2,4,98,2,98,1,1,3,999,999,999,4,2,1,5,2,1,1,4,1,4,1,3,3,NA,NA,NA,NA,NA,NA,2,NA,1,"10/4/2017 6:51:14",1.13
"23",23,"C","A","C",9999,4,"KY",2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,3,3,999,999,999,3,2,2,2,2,2,2,3,2,2,98,1,2,1,98,NA,2,4,98,3,1,2,"10/4/2017 6:54:46",1.45
"24",24,"C","B","C",9999,2,"PA",1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,3,3,3,1,98,4,4,4,4,1,2,4,1,999,999,999,1,5,5,5,5,1,4,4,4,98,1,4,1,1,1,1,4,2,4,2,2,1,"10/4/2017 7:05:09",1.01
"25",25,"C","A","C",9999,4,"CA",4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,8,3,3,3,2,2,2,2,2,2,2,2,98,2,999,999,999,1,2,2,2,4,4,98,4,2,98,3,2,2,1,1,1,3,4,NA,1,1,1,"10/4/2017 7:06:19",0.73
"26",26,"C","B","D",9999,2,"NM",4,2,1,1,3,1,1,1,NA,2,1,1,1,3,1,NA,NA,NA,1,1,1,1,98,2,1,1,1,1,3,2,2,999,999,999,4,2,NA,2,4,1,2,98,1,1,2,2,3,9,2,NA,4,4,4,4,5,1,"10/4/2017 7:36:10",2.47
"27",27,"C","A","D",9999,2,"TX",2,5,1,1,1,NA,1,1,"WEATHER CHANGES",3,1,3,1,2,2,NA,NA,NA,1,1,1,1,1,2,4,2,1,1,2,4,2,999,999,999,4,1,2,2,5,2,1,4,1,1,2,4,6,9,2,NA,4,2,3,3,5,2,"10/4/2017 7:38:06",2.81
"28",28,"C","B","D",9999,3,"TN",2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,3,3,98,3,4,4,98,2,98,4,4,4,999,999,999,1,5,98,5,5,5,4,4,4,98,1,98,98,1,1,2,4,2,1,1,5,1,"10/4/2017 7:41:53",0.355
"29",29,"C","A","D",9999,3,"OH",3,1,1,1,1,NA,1,1,"ICE CAPS MELTING POLAR BEARS DYING",1,1,1,1,4,1,NA,NA,NA,1,1,1,4,1,3,3,4,1,3,1,1,4,999,999,999,5,1,98,2,2,2,1,4,2,2,1,4,5,1,5,NA,5,2,1,4,NA,1,"10/4/2017 7:43:04",0.355
"30",30,"C","B","D",9999,4,"FL",2,2,1,1,3,1,2,1,"TEMPS ARE STAYING WARMER",2,2,2,1,3,2,NA,NA,NA,1,2,2,1,2,2,1,2,2,2,2,98,1,999,999,999,3,4,98,5,5,98,98,98,98,98,98,1,1,1,1,2,2,1,1,4,2,2,"10/4/2017 7:44:34",1.44
"31",31,"C","A","D",9999,3,"FL",2,1,1,1,3,1,1,1,"STORMS THIS YEAR AND TEMPS ARE VERY HOT",3,1,1,1,1,1,NA,NA,NA,1,2,2,1,1,1,1,1,1,1,1,1,4,999,999,999,5,1,NA,1,5,1,4,4,1,1,1,4,5,10,6,NA,4,NA,98,2,1,1,"10/4/2017 7:49:14",0.425
"32",32,"C","B","D",9999,1,"IN",3,5,1,1,98,NA,2,1,NA,4,2,2,3,2,2,NA,NA,NA,2,2,3,1,2,1,1,1,1,4,1,98,4,999,999,999,3,1,1,1,5,1,1,4,1,4,1,4,3,1,7,NA,2,2,4,1,NA,1,"10/4/2017 7:56:23",1.47
"33",33,"C","B","D",9999,2,"OH",3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,2,2,1,2,98,3,3,98,98,98,98,2,98,98,999,999,999,2,4,1,4,4,4,2,3,4,98,2,2,4,1,NA,NA,4,2,3,98,5,2,"10/4/2017 7:56:59",1.21
"34",34,"C","B","C",9999,2,"NY",1,3,1,2,98,NA,1,2,"MOTHER NATURE",8,2,1,2,2,1,NA,NA,NA,98,98,98,2,2,4,4,4,1,2,2,98,2,999,999,999,4,4,2,5,5,2,4,4,2,98,1,4,1,1,2,NA,3,1,4,3,1,2,"10/4/2017 8:01:34",1.59
"35",35,"C","A","C",9999,1,"MD",2,1,1,1,1,NA,1,1,"THE TIDES ARE GETTING HIGHER",11,1,1,1,3,1,NA,NA,NA,2,1,1,2,2,2,1,3,2,3,1,2,1,999,999,999,5,2,4,3,98,3,3,3,2,3,3,1,4,9,5,NA,4,2,4,2,NA,2,"10/4/2017 8:13:16",2.81
"36",36,"C","B","C",9999,3,"MS",2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,3,3,3,3,3,3,2,3,3,2,3,3,2,999,999,999,1,4,98,4,4,2,3,2,3,1,2,3,1,1,1,1,4,4,1,2,6,1,"10/4/2017 8:27:12",0.185
"37",37,"C","A","D",9999,1,"CA",4,2,1,1,98,NA,3,2,"ITS HOT",2,2,1,2,4,1,NA,NA,NA,2,2,3,2,2,3,4,2,1,2,2,2,2,999,999,999,3,4,1,5,5,2,2,4,2,3,3,4,1,9,2,NA,2,1,3,3,4,1,"10/4/2017 8:40:39",3
"38",38,"C","B","D",9999,4,"FL",2,5,1,2,2,NA,1,98,"REALLY HOT AND STORMS",2,1,2,1,3,2,NA,NA,NA,2,2,2,2,3,3,98,2,1,1,3,2,2,999,999,999,4,98,1,2,2,2,2,4,2,2,1,4,2,1,1,1,3,4,2,4,2,2,"10/4/2017 8:41:13",1.06
"39",39,"C","A","D",9999,3,"NJ",1,1,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,98,2,2,3,2,2,2,2,2,2,999,999,999,3,2,2,2,2,2,2,3,2,98,98,98,1,9,98,NA,3,1,3,4,4,2,"10/4/2017 8:45:06",2.455
"40",40,"C","B","D",9999,1,"CA",4,1,1,1,3,1,1,1,"GROWTH OF POPULATION",13,1,2,1,2,1,NA,NA,NA,1,1,1,4,1,2,2,4,1,3,1,1,1,999,999,999,3,2,1,2,2,3,1,3,2,2,1,4,3,1,2,NA,3,NA,NA,4,NA,1,"10/4/2017 8:46:39",1.09
"41",41,"C","B","D",9999,4,"MT",4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,3,3,3,98,4,4,4,4,4,4,4,4,1,999,999,999,1,5,5,5,5,3,4,4,4,4,4,1,1,1,1,1,3,4,1,1,1,1,"10/4/2017 8:47:22",0.73
"42",42,"C","B","D",9999,1,"NC",2,5,1,2,2,NA,3,2,"AMOUNT OF SNOW FALL IS DECREASING",2,2,3,2,2,3,NA,NA,NA,2,2,2,1,4,4,1,1,2,1,3,98,2,999,999,999,2,2,2,4,5,2,2,3,3,2,2,2,2,1,1,2,4,2,3,2,2,1,"10/4/2017 8:50:01",1
"43",43,"C","A","D",9999,3,"NE",3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,1,2,2,98,3,2,2,2,3,2,3,2,999,999,999,3,5,2,4,4,2,3,3,3,2,3,3,4,1,1,1,4,2,2,2,6,2,"10/4/2017 8:51:52",0.525
"44",44,"C","B","D",9999,4,"NC",2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,3,3,3,1,3,4,4,2,4,3,1,4,4,999,999,999,1,5,5,5,5,5,4,1,3,1,4,1,1,1,1,1,4,2,1,1,NA,1,"10/4/2017 9:03:14",0.35
"45",45,"C","B","D",9999,3,"NC",2,4,1,1,1,NA,2,1,"ICE IS MELTING",1,1,2,1,1,2,NA,NA,NA,2,2,2,2,1,1,2,2,1,2,2,3,1,999,999,999,4,2,1,2,1,1,1,4,4,3,3,3,2,1,4,NA,2,2,3,4,98,2,"10/5/2017 5:11:10",1.305
"46",46,"C","B","D",9999,3,"TN",2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9,3,3,3,2,4,4,4,4,2,2,4,3,3,999,999,999,2,5,3,5,5,2,1,2,2,2,4,1,1,1,6,NA,3,2,2,1,3,2,"10/5/2017 5:12:26",1.055
"47",47,"C","A","D",9999,1,"IL",3,3,1,1,3,1,1,1,"WEATHER IS NOT CONSISTENT ANYMORE",3,1,1,1,1,1,NA,NA,NA,1,1,2,1,2,2,1,3,1,1,2,1,4,999,999,999,4,2,1,1,3,1,1,4,1,4,4,4,3,2,6,NA,4,4,2,4,2,2,"10/5/2017 5:25:08",1.56
"48",48,"C","B","D",9999,4,"OR",4,5,1,2,1,NA,1,1,"ITS THE HURRICAINES",3,1,2,1,3,4,NA,NA,NA,1,2,2,2,1,2,2,4,1,2,2,1,3,999,999,999,3,2,2,1,2,3,1,3,2,4,3,2,3,1,1,2,4,2,3,4,98,2,"10/5/2017 5:30:13",0.69
"49",49,"C","A","D",9999,3,"NY",1,3,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,98,3,4,98,98,3,98,2,3,3,999,999,999,3,3,2,4,5,3,2,4,1,98,1,2,3,1,2,NA,3,2,3,1,6,2,"10/5/2017 5:31:38",0.755
"50",50,"C","B","D",9999,4,"VA",2,3,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,2,3,98,2,4,98,98,1,98,3,98,98,999,999,999,3,4,1,2,4,2,2,2,2,98,2,98,1,1,1,98,5,4,3,3,98,1,"10/5/2017 5:33:01",0.35
"51",51,"C","B","D",9999,1,"TX",2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,2,2,2,2,2,2,2,2,98,2,3,3,999,999,999,2,2,2,2,2,2,98,2,2,2,2,2,1,2,1,1,4,1,3,4,2,1,"10/5/2017 5:33:30",1.22
"52",52,"C","B","D",9999,1,"FL",2,5,1,1,98,NA,2,1,"HURRICANES THAT ARE MASSIVE",3,1,1,1,4,1,NA,NA,NA,2,2,2,1,2,4,4,2,1,2,4,2,4,999,999,999,2,4,2,4,5,5,4,4,2,4,1,2,2,5,4,NA,3,4,2,2,6,1,"10/5/2017 5:34:17",1.48
"53",53,"C","A","D",9999,NA,"VT",1,1,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,4,1,4,4,4,1,4,98,1,98,999,999,999,1,1,1,1,5,1,4,4,1,4,1,98,98,NA,NA,NA,5,NA,NA,3,NA,1,"10/5/2017 5:42:36",0.65
"54",54,"C","B","D",9999,4,"CA",4,1,1,2,98,NA,1,1,"LAST SUMMER IT WAS TWICE AS HOT",2,98,1,3,1,1,NA,NA,NA,1,1,1,98,2,4,2,3,1,98,3,98,2,999,999,999,4,98,2,5,5,1,98,3,2,98,98,1,1,1,6,NA,2,NA,NA,1,1,2,"10/5/2017 5:50:49",1.45
"55",55,"C","A","D",9999,1,"OH",3,1,1,1,1,NA,1,1,"STORMS AND TEMP RISING",3,1,1,2,1,2,NA,NA,NA,1,2,2,3,1,1,3,3,1,3,1,1,1,999,999,999,5,1,1,1,1,1,2,2,2,3,3,3,3,1,1,1,4,3,3,3,NA,1,"10/5/2017 5:52:33",0.86
"56",56,"C","B","D",9999,1,"PA",1,3,1,1,98,NA,2,2,"EXPERIENCE",2,2,1,1,1,2,NA,NA,NA,2,2,2,1,1,2,3,1,1,2,1,98,1,999,999,999,3,2,1,4,5,1,4,4,3,4,1,4,2,1,6,NA,4,2,3,3,NA,2,"10/5/2017 5:53:59",1.2
"57",57,"C","A","D",9999,2,"GA",2,2,1,1,1,NA,1,1,"THE ICE MELTING",1,1,2,1,1,1,NA,NA,NA,1,1,1,2,1,1,2,98,1,3,1,2,1,999,999,999,5,2,2,2,2,2,2,3,2,3,2,3,2,1,98,NA,3,4,4,4,1,2,"10/5/2017 5:56:08",1.59
"58",58,"C","B","D",9999,3,"VA",2,2,1,2,1,NA,1,1,"SCIENCE",4,2,2,2,2,2,NA,NA,NA,2,2,2,4,1,4,4,1,1,2,98,1,4,999,999,999,4,1,1,1,5,1,4,4,1,4,1,4,5,1,6,NA,5,4,3,4,6,1,"10/5/2017 5:58:07",0.185
"59",59,"C","B","D",9999,3,"FL",2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,98,2,2,98,98,98,98,98,1,98,4,4,98,999,999,999,5,4,1,5,5,1,3,4,1,98,4,4,1,2,1,98,1,1,4,3,2,1,"10/5/2017 6:08:55",0.875
"60",60,"C","B","D",9999,2,"CA",4,2,1,1,1,NA,1,1,"FIRES AND LESS WATER",3,1,2,1,2,1,NA,NA,NA,1,1,1,1,1,2,2,3,1,1,1,1,3,999,999,999,5,2,1,1,2,1,1,2,2,3,2,4,2,1,2,NA,5,1,3,4,4,2,"10/5/2017 6:09:12",1.14
"61",61,"C","A","D",9999,1,"VA",2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,2,1,1,1,98,2,2,3,999,999,999,3,5,1,1,5,1,2,4,4,4,98,4,3,1,1,2,5,2,2,2,6,2,"10/5/2017 6:11:09",1.03
"62",62,"C","B","D",9999,2,"NJ",1,5,1,1,1,NA,2,1,"ICE  CORE SAMPLES",4,3,3,4,4,4,NA,NA,NA,2,2,1,4,1,4,1,4,2,1,1,2,3,999,999,999,2,1,5,5,5,1,4,4,3,98,1,98,98,1,98,NA,5,4,3,4,6,1,"10/5/2017 6:15:46",0.7
"63",63,"C","A","D",9999,3,"TX",2,3,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,4,4,4,4,3,3,2,4,4,999,999,999,3,4,2,4,5,1,4,4,1,2,3,1,1,1,1,1,3,NA,2,2,2,2,"10/5/2017 6:29:43",1.065
"64",64,"C","B","D",9999,1,"TX",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,2,2,2,1,2,3,2,3,2,2,2,2,3,999,999,999,3,4,2,4,4,2,2,2,2,4,2,2,1,1,2,NA,4,2,2,2,4,2,"10/5/2017 6:31:59",1.13
"65",65,"C","B","D",9999,1,"CA",4,2,1,1,3,1,1,1,"WEATHER, THIS YEAR HOTTER THAN LAST YEAR",3,98,1,1,4,1,NA,NA,NA,2,1,1,1,2,2,1,2,1,98,1,1,2,999,999,999,4,3,98,5,4,2,4,4,2,98,2,2,2,1,2,NA,2,4,3,4,1,2,"10/5/2017 6:33:19",1.96
"66",66,"C","B","D",9999,3,"CA",4,2,1,1,1,NA,2,1,"GLOBAL WARMING",10,1,2,1,2,98,NA,NA,NA,2,2,2,1,1,1,4,1,1,1,1,1,4,999,999,999,4,1,1,1,1,1,98,4,1,4,1,4,5,1,2,NA,4,1,5,3,5,1,"10/5/2017 6:45:10",0.355
"67",67,"C","A","D",9999,2,"FL",2,2,1,1,1,NA,1,1,"THE WEATHER IS CHANGING",3,2,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,2,2,2,3,2,3,3,999,999,999,3,1,4,3,5,3,2,4,2,4,3,3,3,9,2,NA,3,3,4,4,4,1,"10/5/2017 6:57:31",2.64
"68",68,"C","B","D",9999,4,"IN",3,5,1,2,1,NA,3,1,"IN MY TIMES IT IS A WHOLE LOT DIFFERENT",2,2,2,2,2,2,NA,NA,NA,2,1,2,2,2,2,2,2,2,98,1,2,98,999,999,999,5,2,1,1,5,2,2,2,98,2,3,NA,NA,1,2,NA,1,4,3,98,4,1,"10/5/2017 7:02:53",0.44
"69",69,"C","A","C",9999,4,"MS",2,1,1,2,3,2,2,98,"HOTTER THAN USUAL",2,2,98,4,2,3,NA,NA,NA,2,98,98,2,98,1,3,98,2,2,2,98,98,999,999,999,3,98,2,5,5,3,98,98,2,3,2,1,1,1,NA,NA,2,4,3,2,NA,2,"10/9/2017 5:18:00",1.3
"70",70,"C","B","C",9999,4,"VA",2,5,1,98,1,NA,2,2,"NOT SURE",10,1,2,2,3,2,NA,NA,NA,1,1,1,1,1,1,4,2,1,1,3,2,3,999,999,999,5,3,1,4,2,2,98,3,3,98,2,2,2,NA,NA,NA,4,NA,NA,NA,NA,1,"10/9/2017 5:20:28",0.45
"71",71,"C","A","C",9999,4,"NJ",1,2,1,2,3,98,2,1,"LOSING OZONE LAYER",10,2,2,2,2,2,NA,NA,NA,1,2,2,2,4,4,2,1,1,2,1,2,1,999,999,999,4,1,3,1,1,1,4,4,NA,4,1,3,3,1,3,NA,5,2,1,3,NA,1,"10/9/2017 5:25:57",0.35
"72",72,"C","B","C",9999,1,"FL",2,1,1,2,3,3,4,98,"WARMER,CLIMATE CHANGE",2,1,2,98,3,3,NA,NA,NA,98,3,3,2,4,4,2,2,4,1,2,4,2,999,999,999,3,5,1,5,5,2,3,3,4,4,2,1,2,1,1,1,4,3,2,2,6,1,"10/9/2017 5:33:45",0.69
"73",73,"C","A","C",9999,2,"CA",4,2,1,2,3,3,1,1,"ICE CAPS MELTING",1,1,2,1,4,1,NA,NA,NA,1,2,3,2,1,1,1,2,1,1,2,1,2,999,999,999,4,1,1,1,1,1,4,4,1,1,4,4,3,1,2,NA,3,2,2,2,3,1,"10/9/2017 5:37:17",1.23
"74",74,"C","A","C",9999,2,"NY",1,5,1,2,1,NA,2,1,"OUR WINTERS HAVE GOTTEN WARMER",2,98,2,2,1,2,NA,NA,NA,1,2,98,98,2,98,2,3,2,98,98,2,2,999,999,999,3,4,2,98,5,4,2,3,2,98,2,3,3,1,1,1,4,2,2,3,3,2,"10/9/2017 5:40:28",1.34
"75",75,"C","A","C",9999,4,"TX",2,1,1,2,3,2,2,2,"VERY HOT SUMMER",2,1,1,1,1,1,NA,NA,NA,2,2,2,1,1,2,1,1,1,1,2,1,2,999,999,999,3,1,1,1,1,1,98,4,2,2,98,2,2,1,NA,NA,4,2,2,4,NA,2,"10/9/2017 5:49:24",0.69
"76",76,"C","A","C",9999,3,"FL",2,2,1,1,3,3,2,98,"NEWS",6,2,1,3,2,2,NA,NA,NA,2,2,2,4,3,4,3,1,3,3,4,98,4,999,999,999,3,5,1,5,5,3,4,2,3,1,1,1,4,10,1,2,3,4,3,2,4,1,"10/9/2017 5:56:29",0.435
"77",77,"C","A","C",9999,1,"OH",3,3,1,1,1,NA,1,1,"SCIENTIFIC EVIDENCE",4,1,3,1,3,2,NA,NA,NA,1,1,1,2,1,1,4,4,1,4,1,1,4,999,999,999,5,1,1,1,1,1,2,4,1,98,1,2,4,1,1,98,4,4,5,4,NA,1,"10/9/2017 5:57:19",0.86
